id_tempo,data,ano,mes,dia,trimestre,diaSemana,decada
13013,1982-11-25,1982,11,25,4,Thursday,1980
10142,1982-11-26,1982,11,26,4,Friday,1980
13113,1982-11-28,1982,11,28,4,Sunday,1980
13053,1982-11-29,1982,11,29,4,Monday,1980
8687,1982-11-30,1982,11,30,4,Tuesday,1980
12926,1982-12-02,1982,12,2,4,Thursday,1980
13105,1982-12-03,1982,12,3,4,Friday,1980
13101,1982-12-04,1982,12,4,4,Saturday,1980
13076,1982-12-06,1982,12,6,4,Monday,1980
13054,1982-12-08,1982,12,8,4,Wednesday,1980
13043,1982-12-09,1982,12,9,4,Thursday,1980
12970,1982-12-10,1982,12,10,4,Friday,1980
13047,1982-12-12,1982,12,12,4,Sunday,1980
13114,1982-12-14,1982,12,14,4,Tuesday,1980
13138,1982-12-15,1982,12,15,4,Wednesday,1980
13035,1982-12-16,1982,12,16,4,Thursday,1980
13130,1982-12-17,1982,12,17,4,Friday,1980
12971,1982-12-20,1982,12,20,4,Monday,1980
12934,1982-12-22,1982,12,22,4,Wednesday,1980
13055,1982-12-23,1982,12,23,4,Thursday,1980
13036,1982-12-27,1982,12,27,4,Monday,1980
13056,1982-12-28,1982,12,28,4,Tuesday,1980
11599,1983-01-20,1983,1,20,1,Thursday,1980
13139,1983-01-22,1983,1,22,1,Saturday,1980
12721,1983-02-02,1983,2,2,1,Wednesday,1980
11713,1983-02-04,1983,2,4,1,Friday,1980
14335,1983-02-07,1983,2,7,1,Monday,1980
12720,1983-02-09,1983,2,9,1,Wednesday,1980
13029,1983-02-11,1983,2,11,1,Friday,1980
12690,1983-02-17,1983,2,17,1,Thursday,1980
12714,1983-02-21,1983,2,21,1,Monday,1980
12715,1983-02-23,1983,2,23,1,Wednesday,1980
11018,1983-03-01,1983,3,1,1,Tuesday,1980
12718,1983-03-02,1983,3,2,1,Wednesday,1980
12719,1983-03-08,1983,3,8,1,Tuesday,1980
12717,1983-03-09,1983,3,9,1,Wednesday,1980
11272,1983-03-14,1983,3,14,1,Monday,1980
13118,1983-03-20,1983,3,20,1,Sunday,1980
14767,1983-03-21,1983,3,21,1,Monday,1980
13153,1983-03-22,1983,3,22,1,Tuesday,1980
14622,1983-03-23,1983,3,23,1,Wednesday,1980
12965,1983-03-27,1983,3,27,1,Sunday,1980
11273,1983-03-29,1983,3,29,1,Tuesday,1980
11752,1983-04-04,1983,4,4,2,Monday,1980
14764,1983-04-07,1983,4,7,2,Thursday,1980
11267,1983-04-12,1983,4,12,2,Tuesday,1980
11269,1983-04-13,1983,4,13,2,Wednesday,1980
11274,1983-04-14,1983,4,14,2,Thursday,1980
11275,1983-04-19,1983,4,19,2,Tuesday,1980
11270,1983-04-20,1983,4,20,2,Wednesday,1980
10146,1983-05-09,1983,5,9,2,Monday,1980
11280,1983-05-10,1983,5,10,2,Tuesday,1980
10155,1983-05-11,1983,5,11,2,Wednesday,1980
12694,1983-05-19,1983,5,19,2,Thursday,1980
11271,1983-05-23,1983,5,23,2,Monday,1980
13511,1983-06-07,1983,6,7,2,Tuesday,1980
11283,1983-06-08,1983,6,8,2,Wednesday,1980
10156,1983-06-09,1983,6,9,2,Thursday,1980
10154,1983-06-14,1983,6,14,2,Tuesday,1980
11279,1983-06-15,1983,6,15,2,Wednesday,1980
10148,1983-06-21,1983,6,21,2,Tuesday,1980
12697,1983-06-22,1983,6,22,2,Wednesday,1980
78,1983-06-29,1983,6,29,2,Wednesday,1980
12306,1983-06-30,1983,6,30,2,Thursday,1980
13136,1983-07-08,1983,7,8,3,Friday,1980
10149,1983-07-14,1983,7,14,3,Thursday,1980
10150,1983-07-15,1983,7,15,3,Friday,1980
77,1983-07-20,1983,7,20,3,Wednesday,1980
13512,1983-07-21,1983,7,21,3,Thursday,1980
11611,1983-07-23,1983,7,23,3,Saturday,1980
13122,1983-07-28,1983,7,28,3,Thursday,1980
12698,1983-07-29,1983,7,29,3,Friday,1980
12699,1983-07-30,1983,7,30,3,Saturday,1980
12702,1983-08-04,1983,8,4,3,Thursday,1980
11597,1983-08-07,1983,8,7,3,Sunday,1980
12704,1983-08-08,1983,8,8,3,Monday,1980
11281,1983-08-10,1983,8,10,3,Wednesday,1980
11285,1983-08-11,1983,8,11,3,Thursday,1980
11284,1983-08-12,1983,8,12,3,Friday,1980
11277,1983-08-16,1983,8,16,3,Tuesday,1980
14765,1983-08-19,1983,8,19,3,Friday,1980
13037,1983-08-21,1983,8,21,3,Sunday,1980
13032,1983-08-22,1983,8,22,3,Monday,1980
13127,1983-08-27,1983,8,27,3,Saturday,1980
12695,1983-08-31,1983,8,31,3,Wednesday,1980
12574,1983-09-03,1983,9,3,3,Saturday,1980
12724,1983-09-12,1983,9,12,3,Monday,1980
11612,1983-09-14,1983,9,14,3,Wednesday,1980
13519,1983-09-19,1983,9,19,3,Monday,1980
14552,1983-09-21,1983,9,21,3,Wednesday,1980
12696,1983-09-29,1983,9,29,3,Thursday,1980
12919,1983-10-01,1983,10,1,4,Saturday,1980
12571,1983-10-03,1983,10,3,4,Monday,1980
11287,1983-10-04,1983,10,4,4,Tuesday,1980
10151,1983-10-05,1983,10,5,4,Wednesday,1980
14437,1983-10-07,1983,10,7,4,Friday,1980
11615,1983-10-10,1983,10,10,4,Monday,1980
71,1983-10-15,1983,10,15,4,Saturday,1980
4654,1983-10-18,1983,10,18,4,Tuesday,1980
11282,1983-10-20,1983,10,20,4,Thursday,1980
11613,1983-10-24,1983,10,24,4,Monday,1980
11296,1983-10-26,1983,10,26,4,Wednesday,1980
12703,1983-10-27,1983,10,27,4,Thursday,1980
14337,1983-11-03,1983,11,3,4,Thursday,1980
12900,1983-11-10,1983,11,10,4,Thursday,1980
81,1983-11-16,1983,11,16,4,Wednesday,1980
14343,1983-11-18,1983,11,18,4,Friday,1980
11276,1983-11-22,1983,11,22,4,Tuesday,1980
80,1983-11-23,1983,11,23,4,Wednesday,1980
72,1983-11-25,1983,11,25,4,Friday,1980
13045,1983-11-28,1983,11,28,4,Monday,1980
14345,1983-11-30,1983,11,30,4,Wednesday,1980
12828,1983-12-03,1983,12,3,4,Saturday,1980
11290,1983-12-05,1983,12,5,4,Monday,1980
10153,1983-12-06,1983,12,6,4,Tuesday,1980
14623,1983-12-12,1983,12,12,4,Monday,1980
11782,1983-12-14,1983,12,14,4,Wednesday,1980
11772,1983-12-17,1983,12,17,4,Saturday,1980
14346,1983-12-27,1983,12,27,4,Tuesday,1980
14524,1983-12-30,1983,12,30,4,Friday,1980
14344,1984-01-02,1984,1,2,1,Monday,1980
8774,1984-01-07,1984,1,7,1,Saturday,1980
11017,1984-01-11,1984,1,11,1,Wednesday,1980
10152,1984-01-17,1984,1,17,1,Tuesday,1980
14341,1984-01-20,1984,1,20,1,Friday,1980
11712,1984-01-22,1984,1,22,1,Sunday,1980
13644,1984-01-28,1984,1,28,1,Saturday,1980
12994,1984-01-31,1984,1,31,1,Tuesday,1980
14342,1984-02-01,1984,2,1,1,Wednesday,1980
13157,1984-02-07,1984,2,7,1,Tuesday,1980
11021,1984-02-08,1984,2,8,1,Wednesday,1980
13128,1984-02-10,1984,2,10,1,Friday,1980
11292,1984-02-11,1984,2,11,1,Saturday,1980
11322,1984-02-13,1984,2,13,1,Monday,1980
11291,1984-02-14,1984,2,14,1,Tuesday,1980
13474,1984-02-16,1984,2,16,1,Thursday,1980
13646,1984-02-17,1984,2,17,1,Friday,1980
13488,1984-02-21,1984,2,21,1,Tuesday,1980
14338,1984-02-23,1984,2,23,1,Thursday,1980
14752,1984-02-25,1984,2,25,1,Saturday,1980
11614,1984-02-28,1984,2,28,1,Tuesday,1980
11760,1984-03-01,1984,3,1,1,Thursday,1980
8690,1984-03-04,1984,3,4,1,Sunday,1980
14339,1984-03-13,1984,3,13,1,Tuesday,1980
12898,1984-03-16,1984,3,16,1,Friday,1980
13033,1984-03-21,1984,3,21,1,Wednesday,1980
11336,1984-03-22,1984,3,22,1,Thursday,1980
11019,1984-03-29,1984,3,29,1,Thursday,1980
11020,1984-03-30,1984,3,30,1,Friday,1980
11661,1984-04-07,1984,4,7,2,Saturday,1980
11361,1984-04-13,1984,4,13,2,Friday,1980
11662,1984-04-14,1984,4,14,2,Saturday,1980
10991,1984-04-16,1984,4,16,2,Monday,1980
12691,1984-04-17,1984,4,17,2,Tuesday,1980
13464,1984-04-25,1984,4,25,2,Wednesday,1980
13647,1984-04-26,1984,4,26,2,Thursday,1980
13326,1984-04-30,1984,4,30,2,Monday,1980
12707,1984-05-10,1984,5,10,2,Thursday,1980
11288,1984-05-11,1984,5,11,2,Friday,1980
11293,1984-05-12,1984,5,12,2,Saturday,1980
11339,1984-05-14,1984,5,14,2,Monday,1980
13404,1984-05-15,1984,5,15,2,Tuesday,1980
12924,1984-05-17,1984,5,17,2,Thursday,1980
13613,1984-05-20,1984,5,20,2,Sunday,1980
13468,1984-05-21,1984,5,21,2,Monday,1980
8770,1984-05-22,1984,5,22,2,Tuesday,1980
12979,1984-05-25,1984,5,25,2,Friday,1980
11778,1984-05-31,1984,5,31,2,Thursday,1980
14340,1984-06-02,1984,6,2,2,Saturday,1980
8913,1984-06-04,1984,6,4,2,Monday,1980
14520,1984-06-05,1984,6,5,2,Tuesday,1980
12303,1984-06-07,1984,6,7,2,Thursday,1980
13320,1984-06-11,1984,6,11,2,Monday,1980
11711,1984-06-12,1984,6,12,2,Tuesday,1980
11340,1984-06-13,1984,6,13,2,Wednesday,1980
11499,1984-06-15,1984,6,15,2,Friday,1980
11500,1984-06-19,1984,6,19,2,Tuesday,1980
11494,1984-06-21,1984,6,21,2,Thursday,1980
13299,1984-06-28,1984,6,28,2,Thursday,1980
11667,1984-07-04,1984,7,4,3,Wednesday,1980
11668,1984-07-07,1984,7,7,3,Saturday,1980
13318,1984-07-11,1984,7,11,3,Wednesday,1980
13475,1984-07-13,1984,7,13,3,Friday,1980
11709,1984-07-15,1984,7,15,3,Sunday,1980
14387,1984-07-16,1984,7,16,3,Monday,1980
13074,1984-07-17,1984,7,17,3,Tuesday,1980
13963,1984-07-20,1984,7,20,3,Friday,1980
13317,1984-07-24,1984,7,24,3,Tuesday,1980
13513,1984-07-27,1984,7,27,3,Friday,1980
13321,1984-07-31,1984,7,31,3,Tuesday,1980
14388,1984-08-03,1984,8,3,3,Friday,1980
11710,1984-08-04,1984,8,4,3,Saturday,1980
13319,1984-08-06,1984,8,6,3,Monday,1980
8736,1984-08-07,1984,8,7,3,Tuesday,1980
11734,1984-08-08,1984,8,8,3,Wednesday,1980
13648,1984-08-09,1984,8,9,3,Thursday,1980
8771,1984-08-10,1984,8,10,3,Friday,1980
11676,1984-08-11,1984,8,11,3,Saturday,1980
8977,1984-08-14,1984,8,14,3,Tuesday,1980
64,1984-08-15,1984,8,15,3,Wednesday,1980
84,1984-08-17,1984,8,17,3,Friday,1980
14754,1984-08-23,1984,8,23,3,Thursday,1980
8764,1984-08-25,1984,8,25,3,Saturday,1980
11294,1984-08-30,1984,8,30,3,Thursday,1980
76,1984-08-31,1984,8,31,3,Friday,1980
12725,1984-09-03,1984,9,3,3,Monday,1980
8976,1984-09-04,1984,9,4,3,Tuesday,1980
12943,1984-09-05,1984,9,5,3,Wednesday,1980
8765,1984-09-06,1984,9,6,3,Thursday,1980
13469,1984-09-07,1984,9,7,3,Friday,1980
8763,1984-09-10,1984,9,10,3,Monday,1980
11732,1984-09-13,1984,9,13,3,Thursday,1980
13070,1984-09-15,1984,9,15,3,Saturday,1980
12973,1984-09-16,1984,9,16,3,Sunday,1980
13467,1984-09-18,1984,9,18,3,Tuesday,1980
11295,1984-09-19,1984,9,19,3,Wednesday,1980
11708,1984-09-20,1984,9,20,3,Thursday,1980
12958,1984-09-24,1984,9,24,3,Monday,1980
8767,1984-09-26,1984,9,26,3,Wednesday,1980
14348,1984-09-28,1984,9,28,3,Friday,1980
11498,1984-09-29,1984,9,29,3,Saturday,1980
8912,1984-09-30,1984,9,30,3,Sunday,1980
