pk_debito,situacao,moeda
294,Exigibilidade suspensa por dec. judic. sem depósito / TAC,Cruzeiro (90 a 93)
295,"Enviado da SAR à DIJUR, para homologação",Cruzado
296,"Para nova homologação, devido a alterações",Cruzado Novo
297,Pedido de recurso ao Pres. do Ibama,Cruzeiro (90 a 93)
298,Pedido de recurso ao Ministro do MMA,Cruzeiro (90 a 93)
299,Exigibilidade suspensa por dec. judic. sem depósito / TAC,BTN
300,Quitado. Cancelado o saldo devedor,BTN
301,Cancelado na homologação (AI sem defesa),BTN
302,Para homologação/prazo de defesa,MVR
303,Baixado - Defesa deferida,Cruzado Novo
304,Baixado c/base no Dec. 3179/99. P. Serviço,BTN
305,Cancelado por falecimento ocorrido antes da const. do créd.,Cruzeiro (90 a 93)
306,Baixado c/base na IN 42/04. Port. 440/89,Cruzeiro Real
307,Análise admis/mérito do recurso ao Ministro do MMA,Real
308,Ação Judicial favorável ao Ibama,Real
309,Análise admis/mérito de impugnação/defesa,Cruzeiro (90 a 93)
310,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",Cruzado
311,Baixado por determinação judicial,UFIR
312,Excluído,Cruzeiro Real
313,Parcelado pela 2ª vez,UFIR
314,Quitado. Baixa manual efetuada pela CGARR,Cruzeiro (90 a 93)
315,Baixado c/base no Dec. 3179/99. PS FORMA DIRETA,Cruzeiro (90 a 93)
316,Excluído,UFIR
317,Notificado e aguardando pagamento,UFIR
318,Baixado c/base no Dec. 3179/99. P. Serviço,UFIR
319,Quitado. Baixa automática,OTN
320,Baixado - Defesa deferida,Cruzado
321,"Parcelamento rescindido (Leis 12249, 12865, 12973, 12996)",Cruzeiro (90 a 93)
322,Enviado à DIJUR p/inscrição na dívida ativa,UFIR
323,Notificado e aguardando pagamento/recurso,UFIR
324,Renotificado do lançamento de crédito tributário,Real
325,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",UFIR
326,Sobrestado,Real
327,Análise admis/mérito de impugnação/defesa,UFIR
328,Baixado por prescrição intercorrente durante anál. jurídica,UFIR
329,Ajuizado,UFIR
330,Inscrito na dívida ativa,UFIR
331,Execução suspensa por determ. judicial/Ped. Parcto,UFIR
332,Exigibilidade suspensa por dec. judic. com depósito em juízo,Cruzeiro (90 a 93)
333,"Para nova homologação, devido a alterações",MVR
334,Baixado - Recurso 3ª instância deferido -Dec. n.º 5.459/05,Real
335,Baixado c/base na IN 23/01.IN/IBDF 01/80,UFIR
336,Em cobrança judicial,MVR
337,Parcelado pela 1ª vez,MVR
338,Cancelado,MVR
339,Exigibilidade suspensa por dec. judic. sem depósito / TAC,Cruzeiro (70 a 86)
